                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.89872,                0.81691,                 1.0645,                0.86789,                 0.7529,                0.85206,                0.56934,                 0.9646,                 0.9296,                 1.0799,              0.0013039,              0.0013039,              0.0013039
                     46,                0.90138,                0.77743,                 1.0815,                0.85982,                0.77838,                0.85657,                0.61598,                0.83353,                0.84188,                 1.0177,              0.0012957,              0.0012957,              0.0012957
                     47,                0.91174,                0.82653,                 1.1063,                0.79763,                0.72826,                0.81842,                0.57243,                 0.9119,                0.93046,                 1.0781,              0.0012874,              0.0012874,              0.0012874
                     48,                0.90214,                0.81176,                 1.0726,                0.84194,                0.78595,                 0.8358,                0.57149,                0.96333,                0.89103,                 1.1343,              0.0012792,              0.0012792,              0.0012792
                     49,                0.86758,                0.78913,                 1.0567,                0.88002,                0.79092,                0.85927,                0.59363,                0.94313,                0.83156,                 1.0779,              0.0012709,              0.0012709,              0.0012709
                     50,                0.86338,                0.78359,                 1.0538,                0.83086,                0.81907,                0.85321,                0.60253,                0.91977,                0.83512,                 1.0498,              0.0012627,              0.0012627,              0.0012627
                     51,                0.89957,                0.76468,                 1.0716,                0.82744,                0.82045,                0.85327,                0.62837,                 0.8345,                 0.7915,                 1.0219,              0.0012544,              0.0012544,              0.0012544
                     52,                0.88902,                0.79202,                  1.104,                0.87903,                0.81823,                0.87407,                0.61897,                0.90752,                0.76201,                  1.054,              0.0012462,              0.0012462,              0.0012462
                     53,                0.87259,                 0.7487,                 1.0452,                0.89914,                0.82924,                 0.8926,                0.65077,                 0.8225,                0.69741,                 1.0157,              0.0012379,              0.0012379,              0.0012379
                     54,                0.87182,                0.75591,                  1.081,                0.85549,                0.85072,                0.87539,                0.64404,                0.80941,                0.68714,                0.99986,              0.0012297,              0.0012297,              0.0012297
                     55,                0.81909,                0.71628,                 1.0433,                0.85826,                 0.8522,                0.87262,                0.64772,                0.79422,                0.69062,                0.97376,              0.0012214,              0.0012214,              0.0012214
                     56,                0.83232,                0.75234,                 1.0574,                0.88361,                0.85548,                0.88478,                0.64842,                0.81033,                0.67665,                0.98326,              0.0012132,              0.0012132,              0.0012132
                     57,                0.79722,                0.73465,                 1.0535,                0.86097,                 0.8414,                0.88131,                0.62999,                0.85718,                0.72863,                 1.0015,              0.0012049,              0.0012049,              0.0012049
                     58,                0.84297,                0.76735,                 1.0497,                0.89966,                0.81329,                0.87497,                0.63122,                 0.8421,                0.70839,                 1.0124,              0.0011967,              0.0011967,              0.0011967
                     59,                0.81819,                0.74324,                 1.0441,                 0.8959,                0.82718,                0.87185,                0.64237,                0.82066,                  0.709,                 1.0087,              0.0011884,              0.0011884,              0.0011884
                     60,                0.81229,                0.73933,                 1.0606,                0.85742,                0.82117,                0.85086,                0.62941,                 0.8237,                0.72914,                 1.0005,              0.0011802,              0.0011802,              0.0011802
                     61,                  0.818,                0.71156,                 1.0482,                0.86356,                0.81989,                0.85825,                 0.6506,                0.80035,                0.72594,                 1.0026,              0.0011719,              0.0011719,              0.0011719
                     62,                0.80391,                0.72374,                 1.0658,                0.85403,                0.80799,                0.85399,                0.63071,                0.81525,                0.76081,                0.99821,              0.0011636,              0.0011636,              0.0011636
                     63,                0.78565,                0.71885,                 1.0375,                0.87177,                0.84126,                 0.8805,                0.67044,                0.74084,                0.67211,                0.94864,              0.0011554,              0.0011554,              0.0011554
                     64,                0.84114,                0.73711,                 1.0463,                0.89956,                0.84806,                0.89294,                 0.6686,                 0.7602,                0.71514,                0.96643,              0.0011471,              0.0011471,              0.0011471
                     65,                 0.7959,                0.69578,                 1.0281,                0.87766,                0.86109,                0.90606,                0.68543,                0.73176,                0.72487,                 0.9489,              0.0011389,              0.0011389,              0.0011389
                     66,                0.78192,                0.70599,                 1.0622,                0.87776,                0.87054,                0.90925,                0.67512,                0.76202,                0.68355,                 0.9643,              0.0011306,              0.0011306,              0.0011306
                     67,                0.84769,                0.72934,                 1.0614,                0.86814,                0.86325,                0.90598,                0.67323,                0.76476,                0.70384,                0.97737,              0.0011224,              0.0011224,              0.0011224
                     68,                0.78838,                0.67739,                  1.034,                0.89345,                0.84252,                0.89466,                0.67515,                0.73794,                0.70725,                0.95415,              0.0011141,              0.0011141,              0.0011141
                     69,                0.80406,                0.69018,                 1.0229,                0.88631,                0.84542,                0.89611,                0.68019,                0.71797,                0.69134,                0.94316,              0.0011059,              0.0011059,              0.0011059
                     70,                0.79184,                0.67038,                 1.0288,                0.92104,                0.82838,                0.89119,                0.68737,                0.71949,                0.64021,                0.93482,              0.0010976,              0.0010976,              0.0010976
                     71,                0.81786,                0.68887,                 1.0513,                0.90842,                 0.8509,                0.90281,                0.69963,                0.72556,                 0.6335,                0.93124,              0.0010894,              0.0010894,              0.0010894
